,Country,AREA,AreaName,Region,DevName,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
255,Burkina Faso,903,Africa,Western Africa,Developing regions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,..,..,..,..,..
256,Burundi,903,Africa,Eastern Africa,Developing regions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,20,10,..,..,..,..,..
257,Cabo Verde,903,Africa,Western Africa,Developing regions,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..
258,Cambodia,935,Asia,South-Eastern Asia,Developing regions,0,0,10,10,0,0,0,0,30,20,20,60,220,480,1140,870,510,710,480,420,470,660,800,830,720,620,880,970,980,..,..,..,..,..
259,Cameroon,903,Africa,Middle Africa,Developing regions,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,10,20,10,30,70,100,..,..,..,..,..
260,Canada,905,Northern America,Northern America,Developed regions,2920,3770,3830,3170,3030,3390,3440,3480,3780,4220,4420,4380,3970,3820,4400,4920,5140,5280,5170,5380,5710,6050,6240,6430,6350,6520,6700,7020,7930,..,..,..,..,..
261,Cayman Islands,904,Latin America and the Caribbean,Caribbean,Developing regions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,10,10,20,30,30,20,10,60,40,..,..,..,..,..
262,Central African Republic,903,Africa,Middle Africa,Developing regions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..
263,Chad,903,Africa,Middle Africa,Developing regions,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,10,0,0,10,0,0,0,10,10,10,10,0,0,0,..,..,..,..,..
264,Chile,904,Latin America and the Caribbean,South America,Developing regions,590,430,490,750,1350,1980,2000,2180,2130,1090,810,860,590,490,550,690,730,520,610,520,470,510,560,590,610,720,800,980,1020,..,..,..,..,..
265,China,935,Asia,Eastern Asia,Developing regions,860,870,560,580,1220,2190,1820,2070,2810,4220,3430,8400,6880,4610,4400,8550,12450,8460,10310,13070,16700,22220,29000,33410,29860,28820,32190,42920,54300,..,..,..,..,..
266,"China, Hong Kong Special Administrative Region",935,Asia,Eastern Asia,Developing regions,4170,4380,4980,5480,7450,6820,7200,8840,12960,15200,20450,25790,22130,15960,15880,17940,18550,17450,16520,15250,16410,18620,20200,19220,9740,10070,10270,9680,11030,..,..,..,..,..
267,"China, Macao Special Administrative Region",935,Asia,Eastern Asia,Developing regions,40,80,60,50,80,120,90,110,140,120,150,210,220,210,220,310,330,320,330,310,330,310,320,320,170,190,190,240,330,..,..,..,..,..
268,"China, Taiwan Province of China",935,Asia,Eastern Asia,Developing regions,220,270,310,270,390,520,1010,1350,1770,2920,3770,4590,3750,2800,3090,3940,4850,4900,4770,4790,5080,5240,5110,4810,3410,3290,3350,3580,4550,..,..,..,..,..
269,Colombia,904,Latin America and the Caribbean,South America,Developing regions,90,90,110,80,80,70,130,140,140,180,140,130,170,120,190,230,210,140,170,220,350,490,610,650,490,680,1160,1990,2350,..,..,..,..,..
270,Comoros,903,Africa,Eastern Africa,Developing regions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..
271,Congo,903,Africa,Middle Africa,Developing regions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,90,100,70,..,..,..,..,..
272,Cook Islands,909,Oceania,Polynesia,Developing regions,40,60,40,30,60,70,110,110,80,90,80,90,70,70,100,150,280,250,180,120,110,110,70,80,180,150,160,160,170,..,..,..,..,..
273,Costa Rica,904,Latin America and the Caribbean,Central America,Developing regions,20,20,20,30,380,140,90,100,40,30,20,30,20,20,20,30,30,20,10,10,10,30,30,30,20,40,50,30,50,..,..,..,..,..
274,Côte d'Ivoire,903,Africa,Western Africa,Developing regions,0,0,10,10,10,0,0,10,20,10,0,10,0,10,0,10,0,10,10,10,10,0,10,0,10,10,0,0,0,..,..,..,..,..
275,Croatia,908,Europe,Southern Europe,Developed regions,0,0,0,0,0,0,0,0,0,0,0,0,210,630,1200,1380,1100,910,1120,840,950,830,580,510,360,590,400,270,340,..,..,..,..,..
276,Cuba,904,Latin America and the Caribbean,Caribbean,Developing regions,50,0,10,10,10,0,10,0,10,0,0,10,0,0,0,10,10,10,20,10,30,10,30,10,40,30,30,30,40,..,..,..,..,..
277,Cyprus,935,Asia,Western Asia,Developing regions,390,540,420,390,470,460,660,740,720,530,450,310,280,380,480,480,580,450,370,410,270,360,350,330,200,200,310,220,200,..,..,..,..,..
278,Czech Republic,908,Europe,Eastern Europe,Developed regions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,120,250,240,210,220,200,270,280,440,360,330,400,380,370,..,..,..,..,..
279,Democratic People's Republic of Korea,935,Asia,Eastern Asia,Developing regions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,..,..,..,..,..
280,Democratic Republic of the Congo,903,Africa,Middle Africa,Developing regions,0,10,10,0,10,0,0,10,20,20,20,10,10,30,20,20,20,20,0,0,0,0,0,0,0,0,0,10,20,..,..,..,..,..
281,Denmark,908,Europe,Northern Europe,Developed regions,620,890,950,500,360,390,550,750,860,720,660,610,570,570,630,650,630,680,580,610,700,850,790,750,650,630,620,600,630,..,..,..,..,..
282,Djibouti,903,Africa,Eastern Africa,Developing regions,0,0,0,0,0,0,10,20,10,0,10,0,10,10,10,20,0,0,10,20,10,20,30,20,20,10,10,20,0,..,..,..,..,..
283,Dominica,904,Latin America and the Caribbean,Caribbean,Developing regions,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0,10,10,10,10,20,0,0,0,10,10,..,..,..,..,..
284,Dominican Republic,904,Latin America and the Caribbean,Caribbean,Developing regions,0,0,10,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,10,20,0,20,..,..,..,..,..
285,Ecuador,904,Latin America and the Caribbean,South America,Developing regions,50,60,50,50,40,50,50,70,70,60,70,70,60,40,80,80,80,60,60,60,70,70,80,90,90,70,70,100,120,..,..,..,..,..
286,Egypt,903,Africa,Northern Africa,Developing regions,330,400,390,400,650,800,1030,1270,1510,1170,850,1170,1280,930,880,880,830,750,780,860,1090,1380,1840,2890,4070,3800,2960,2000,1520,..,..,..,..,..
287,El Salvador,904,Latin America and the Caribbean,Central America,Developing regions,0,0,10,110,270,790,390,660,960,1990,1350,1540,560,240,230,270,220,150,130,50,70,50,60,70,50,50,40,40,100,..,..,..,..,..
288,Equatorial Guinea,903,Africa,Middle Africa,Developing regions,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..
289,Eritrea,903,Africa,Eastern Africa,Developing regions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,50,60,50,40,20,20,20,20,20,20,30,20,70,30,..,..,..,..,..
290,Estonia,908,Europe,Northern Europe,Developed regions,0,0,0,0,0,0,0,0,0,0,0,0,20,10,0,10,20,20,10,20,20,40,30,40,30,50,80,120,270,..,..,..,..,..
291,Ethiopia,903,Africa,Eastern Africa,Developing regions,20,10,10,10,20,30,20,30,40,40,50,0,0,0,220,240,190,230,290,270,260,230,300,300,270,280,430,520,690,..,..,..,..,..
292,Faeroe Islands,908,Europe,Northern Europe,Developed regions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,..,..,..,..,..
293,Falkland Islands (Malvinas),904,Latin America and the Caribbean,South America,Developing regions,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,10,0,10,0,10,..,..,..,..,..
294,Fiji,909,Oceania,Melanesia,Developing regions,1260,1700,1640,1440,1530,1830,2190,3920,3970,3500,3400,3540,3120,2460,2440,2900,2810,2290,2240,2580,2790,3040,2500,2710,2860,2890,4120,2820,3510,..,..,..,..,..
295,Finland,908,Europe,Northern Europe,Developed regions,290,250,190,200,160,220,250,190,260,340,330,340,270,260,290,300,310,300,280,300,300,330,300,350,310,350,350,390,410,..,..,..,..,..
296,France,908,Europe,Western Europe,Developed regions,1400,1730,1700,1650,1480,1590,1650,1630,1760,1510,1650,1760,1630,1760,1940,2220,2060,1910,2020,2480,2570,2770,2790,2750,2950,3210,3620,4330,4910,..,..,..,..,..
297,French Guiana,904,Latin America and the Caribbean,South America,Developing regions,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..
298,French Polynesia,909,Oceania,Polynesia,Developing regions,40,30,50,60,60,40,50,50,70,50,80,60,60,60,50,60,50,60,80,60,70,80,60,60,80,100,140,120,130,..,..,..,..,..
299,Gabon,903,Africa,Middle Africa,Developing regions,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,10,..,..,..,..,..
300,Gambia,903,Africa,Western Africa,Developing regions,10,0,0,0,0,10,10,10,0,0,10,10,10,10,0,10,0,0,0,0,0,10,20,0,10,10,20,20,20,..,..,..,..,..
301,Georgia,935,Asia,Western Asia,Developing regions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,30,20,10,10,20,20,10,10,20,0,20,30,20,..,..,..,..,..
302,Germany,908,Europe,Western Europe,Developed regions,3300,4620,7140,5160,2800,2700,2980,3410,3370,3010,2950,2890,2820,2920,3390,3820,3640,3520,4180,4390,4650,5180,5170,5390,4870,4980,5240,6110,6710,..,..,..,..,..
303,Ghana,903,Africa,Western Africa,Developing regions,60,100,110,40,40,50,60,40,50,60,90,100,140,110,150,160,160,160,190,170,110,130,130,170,370,650,690,670,510,..,..,..,..,..
304,Gibraltar,908,Europe,Southern Europe,Developed regions,0,0,0,0,0,0,0,10,0,0,10,0,0,0,10,0,10,0,0,0,10,10,0,10,0,10,0,10,0,..,..,..,..,..
305,Greece,908,Europe,Southern Europe,Developed regions,4280,5040,3560,3210,4060,4300,4570,5020,4390,3490,3150,2720,2840,3120,3270,3710,3140,3110,2680,2780,2170,2010,2300,1880,1300,1380,1260,1190,1130,..,..,..,..,..
306,Greenland,905,Northern America,Northern America,Developed regions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..
307,Grenada,904,Latin America and the Caribbean,Caribbean,Developing regions,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,10,0,0,0,0,10,0,..,..,..,..,..
308,Guadeloupe,904,Latin America and the Caribbean,Caribbean,Developing regions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..
