,Country,AREA,AreaName,Region,DevName,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
356,Monaco,908,Europe,Western Europe,Developed regions,0,0,10,0,0,10,0,0,0,0,0,10,10,0,0,30,0,10,0,0,0,10,10,0,10,10,20,20,20,..,..,..,..,..
357,Mongolia,935,Asia,Eastern Asia,Developing regions,0,0,0,0,10,0,0,0,0,0,0,0,0,0,20,50,40,40,50,40,40,60,50,80,130,130,100,150,240,..,..,..,..,..
358,Montserrat,904,Latin America and the Caribbean,Caribbean,Developing regions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,..,..,..,..,..
359,Morocco,903,Africa,Northern Africa,Developing regions,20,20,20,30,40,30,10,20,40,30,30,30,30,20,30,40,30,20,40,30,30,40,40,60,50,50,70,80,60,..,..,..,..,..
360,Mozambique,903,Africa,Eastern Africa,Developing regions,10,0,0,0,0,0,0,10,10,0,30,20,30,20,10,40,30,50,30,30,50,80,60,90,70,60,50,70,100,..,..,..,..,..
361,Myanmar,935,Asia,South-Eastern Asia,Developing regions,110,70,120,100,150,130,170,220,260,200,120,140,150,320,580,580,360,290,190,260,220,280,260,260,310,320,450,610,620,..,..,..,..,..
362,Namibia,903,Africa,Southern Africa,Developing regions,0,0,0,0,0,0,0,0,0,0,0,20,30,30,40,40,50,50,30,50,40,60,60,90,50,70,50,80,70,..,..,..,..,..
363,Nauru,909,Oceania,Micronesia,Developing regions,110,120,110,100,110,90,60,90,50,70,70,100,140,80,110,100,100,80,50,50,60,60,170,60,220,110,150,70,280,..,..,..,..,..
364,Nepal,935,Asia,Southern Asia,Developing regions,50,60,40,50,70,80,80,140,130,100,130,180,210,150,300,480,510,390,430,440,570,520,510,460,580,780,1890,6700,10720,..,..,..,..,..
365,Netherlands,908,Europe,Western Europe,Developed regions,2700,3330,3460,1680,1210,1380,1440,1360,1360,1330,1340,1170,1260,1330,1520,1710,1670,1720,1880,2230,2360,2250,2080,2330,1900,1870,1980,1940,2030,..,..,..,..,..
366,New Caledonia,909,Oceania,Melanesia,Developing regions,160,150,210,140,130,170,190,180,180,200,180,180,180,170,190,220,250,230,240,320,260,300,300,260,630,490,450,470,490,..,..,..,..,..
367,New Zealand,909,Oceania,Australia and New Zealand,Developed regions,34370,34440,23920,13620,16900,27070,31240,31610,43960,34060,21670,16680,16410,16140,19530,23400,25600,28120,32500,40200,47230,45570,29500,28000,40710,44680,45550,39120,46960,..,..,..,..,..
368,Nicaragua,904,Latin America and the Caribbean,Central America,Developing regions,0,0,0,10,0,0,30,20,10,40,20,20,10,0,20,10,40,10,0,10,10,10,0,10,10,10,20,20,20,..,..,..,..,..
369,Niger,903,Africa,Western Africa,Developing regions,10,20,40,30,10,40,20,30,40,30,50,20,20,20,30,40,30,30,30,20,30,20,10,10,10,0,20,10,50,..,..,..,..,..
370,Nigeria,903,Africa,Western Africa,Developing regions,150,140,140,90,110,90,130,130,110,90,140,160,160,120,130,110,90,70,120,130,120,220,160,170,180,220,290,290,360,..,..,..,..,..
371,Niue,909,Oceania,Polynesia,Developing regions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,10,10,0,0,10,0,20,10,10,10,10,..,..,..,..,..
372,Northern Mariana Islands,909,Oceania,Micronesia,Developing regions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,..,..,..,..,..
373,Norway,908,Europe,Northern Europe,Developed regions,170,190,210,180,150,190,200,200,280,310,310,260,200,180,230,300,410,620,940,1450,2020,2660,2610,2420,1280,890,840,780,800,..,..,..,..,..
374,Oman,935,Asia,Western Asia,Developing regions,20,20,30,60,40,30,60,80,70,100,70,80,90,120,190,150,150,140,140,140,200,290,460,750,440,320,300,350,430,..,..,..,..,..
375,Pakistan,935,Asia,Southern Asia,Developing regions,290,420,280,350,460,950,1010,890,1020,1170,810,1250,1110,920,930,1500,1510,1540,1810,1860,2050,1770,1860,2570,2540,3360,4580,7030,6450,..,..,..,..,..
376,Palau,909,Oceania,Micronesia,Developing regions,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,10,10,10,10,10,10,10,10,10,20,20,0,10,10,..,..,..,..,..
377,Panama,904,Latin America and the Caribbean,Central America,Developing regions,20,10,10,0,10,20,0,0,10,0,0,10,0,0,0,10,10,10,10,20,10,0,10,10,10,20,10,20,30,..,..,..,..,..
378,Papua New Guinea,909,Oceania,Melanesia,Developing regions,5610,5820,5820,5080,4730,4390,4250,3840,4150,4090,4260,3100,3200,2940,3220,3470,3240,3150,2330,1710,1390,1530,1440,1340,1710,1630,2020,1930,2340,..,..,..,..,..
379,Paraguay,904,Latin America and the Caribbean,South America,Developing regions,0,0,10,0,20,10,20,0,20,10,20,0,10,10,0,20,20,20,20,20,20,10,20,10,10,20,10,10,20,..,..,..,..,..
380,Peru,904,Latin America and the Caribbean,South America,Developing regions,190,160,130,140,140,140,240,340,310,270,340,380,330,250,240,220,200,150,130,190,200,220,220,310,300,460,580,860,1050,..,..,..,..,..
381,Philippines,935,Asia,South-Eastern Asia,Developing regions,3610,4050,4430,4510,4010,4700,5720,9870,11510,8060,7410,7740,6230,5080,5720,5470,3990,4330,4580,4910,4750,4650,5290,5460,7160,8070,10040,11160,13760,..,..,..,..,..
382,Poland,908,Europe,Eastern Europe,Developed regions,310,630,1070,950,860,850,790,1100,1280,1160,1490,1970,1690,910,940,910,880,670,580,580,610,730,930,1010,1100,910,950,880,890,..,..,..,..,..
383,Portugal,908,Europe,Southern Europe,Developed regions,550,1710,1630,1300,1320,1690,1500,1870,1510,1240,1170,960,960,510,530,690,490,400,270,230,190,230,290,320,360,350,320,340,390,..,..,..,..,..
384,Puerto Rico,904,Latin America and the Caribbean,Caribbean,Developing regions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,10,..,..,..,..,..
385,Qatar,935,Asia,Western Asia,Developing regions,0,30,20,50,20,40,40,30,50,40,30,30,30,40,40,90,40,60,70,50,60,110,210,400,260,250,310,340,330,..,..,..,..,..
386,Republic of Korea,935,Asia,Eastern Asia,Developing regions,390,620,1030,870,880,1180,1800,2310,2330,2670,2690,2980,3440,3180,3680,4280,5670,6360,5570,4950,5630,7420,8650,9640,10210,11670,13950,15390,17240,..,..,..,..,..
387,Republic of Moldova,908,Europe,Eastern Europe,Developed regions,0,0,0,0,0,0,0,0,0,0,0,0,30,10,30,30,20,20,10,20,30,20,30,40,10,40,30,20,40,..,..,..,..,..
388,Réunion,903,Africa,Eastern Africa,Developing regions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,20,30,20,40,80,100,120,110,..,..,..,..,..
389,Romania,908,Europe,Eastern Europe,Developed regions,180,240,230,240,270,270,340,350,620,700,720,490,470,400,420,410,480,440,330,400,350,410,370,390,360,340,300,310,290,..,..,..,..,..
390,Russian Federation,908,Europe,Eastern Europe,Developed regions,0,0,0,0,0,0,0,0,0,0,0,0,110,170,160,230,260,390,380,480,530,820,960,900,960,1010,960,1170,1510,..,..,..,..,..
391,Rwanda,903,Africa,Eastern Africa,Developing regions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0,10,10,0,20,10,0,50,40,20,..,..,..,..,..
392,Saint Helena,903,Africa,Western Africa,Developing regions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..
393,Saint Kitts and Nevis,904,Latin America and the Caribbean,Caribbean,Developing regions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..
394,Saint Lucia,904,Latin America and the Caribbean,Caribbean,Developing regions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,10,..,..,..,..,..
395,Saint Vincent and the Grenadines,904,Latin America and the Caribbean,Caribbean,Developing regions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..
396,Samoa,909,Oceania,Polynesia,Developing regions,150,120,160,110,160,190,200,210,390,250,280,360,340,330,380,390,400,350,360,280,270,320,280,280,420,320,410,330,460,..,..,..,..,..
397,Saudi Arabia,935,Asia,Western Asia,Developing regions,150,210,210,350,300,290,310,350,400,420,660,480,640,800,1230,1130,1150,940,520,600,560,680,740,980,750,1010,1210,2490,4430,..,..,..,..,..
398,Senegal,903,Africa,Western Africa,Developing regions,20,0,10,0,0,0,0,10,0,10,0,0,0,0,0,10,0,20,10,10,10,0,20,10,0,10,20,70,90,..,..,..,..,..
399,Seychelles,903,Africa,Eastern Africa,Developing regions,50,60,80,80,100,60,130,170,190,120,70,80,60,70,90,100,90,100,100,80,80,110,140,150,110,150,100,110,100,..,..,..,..,..
400,Sierra Leone,903,Africa,Western Africa,Developing regions,0,0,10,0,0,10,20,20,10,10,10,0,10,10,10,20,0,0,0,0,0,10,10,10,20,50,110,100,90,..,..,..,..,..
401,Singapore,935,Asia,South-Eastern Asia,Developing regions,2850,3560,2950,2940,2910,2920,3250,4640,5330,5120,4870,5420,5810,6290,7250,9010,9390,9580,10150,10980,12080,15390,17310,16020,16340,17520,19350,16990,18080,..,..,..,..,..
402,Slovakia,908,Europe,Eastern Europe,Developed regions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,80,90,140,90,110,150,220,310,410,360,260,270,260,220,..,..,..,..,..
403,Slovenia,908,Europe,Southern Europe,Developed regions,0,0,0,0,0,0,0,0,0,0,0,0,20,120,150,150,90,90,120,130,180,240,220,140,80,130,140,120,130,..,..,..,..,..
404,Solomon Islands,909,Oceania,Melanesia,Developing regions,210,220,250,220,230,230,310,320,290,310,330,330,340,310,360,340,310,270,270,230,230,130,160,150,310,250,250,290,250,..,..,..,..,..
405,Somalia,903,Africa,Eastern Africa,Developing regions,0,0,10,20,10,10,20,10,30,20,20,60,100,170,260,250,210,220,360,150,40,30,30,30,30,30,20,30,60,..,..,..,..,..
406,South Africa,903,Africa,Southern Africa,Developing regions,3890,4200,4160,3310,2310,3310,5640,5190,4350,3110,2830,2280,2140,2160,4020,4710,5100,6490,8260,9630,9180,10590,8850,9890,7090,7900,7970,8790,13450,..,..,..,..,..
407,Spain,908,Europe,Southern Europe,Developed regions,930,1480,1460,690,600,820,870,770,690,620,610,520,650,750,720,660,660,650,590,530,650,690,790,750,1000,950,1010,1130,1400,..,..,..,..,..
408,Sri Lanka,935,Asia,Southern Asia,Developing regions,410,510,580,740,2680,1640,2050,2620,2830,1860,3310,2930,2710,1620,2310,2760,2250,2240,1970,2130,2660,2870,3210,3050,2590,3410,4330,5620,6820,..,..,..,..,..
409,State of Palestine,935,Asia,Western Asia,Developing regions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,0,0,0,10,0,..,..,..,..,..
410,Sudan,903,Africa,Northern Africa,Developing regions,20,40,60,40,50,80,110,50,80,120,90,90,110,320,450,670,400,430,470,450,440,360,220,340,600,300,480,500,360,..,..,..,..,..
411,Suriname,904,Latin America and the Caribbean,South America,Developing regions,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,10,0,10,10,..,..,..,..,..
412,Swaziland,903,Africa,Southern Africa,Developing regions,30,20,20,30,10,20,20,20,20,10,40,30,10,40,20,10,20,10,10,30,20,20,10,20,20,20,30,20,20,..,..,..,..,..
413,Sweden,908,Europe,Northern Europe,Developed regions,550,580,610,410,480,470,640,880,1030,1030,1170,1020,880,870,830,980,1050,1090,1180,1480,1630,1890,1880,1760,1360,1270,1350,1430,1440,..,..,..,..,..
414,Switzerland,908,Europe,Western Europe,Developed regions,1000,1210,1410,1100,880,950,1020,1010,1350,1290,1170,1240,1190,1180,1260,1430,1450,1400,1320,1430,1490,1880,1760,1580,1240,1270,1140,1200,1310,..,..,..,..,..
415,Syrian Arab Republic,935,Asia,Western Asia,Developing regions,120,150,150,150,210,250,320,480,560,450,370,450,330,290,450,470,320,330,360,460,510,450,500,680,720,940,1480,1330,1870,..,..,..,..,..
416,Tajikistan,935,Asia,Central Asia,Developing regions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,10,0,0,10,10,10,..,..,..,..,..
417,Thailand,935,Asia,South-Eastern Asia,Developing regions,4730,5300,4230,6790,3530,3100,3280,4250,4480,5240,5020,3960,3300,2920,3600,3960,4110,4090,3960,4290,5070,6970,7690,7900,7630,8370,9990,11750,13350,..,..,..,..,..
418,The former Yugoslav Republic of Macedonia,908,Europe,Southern Europe,Developed regions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,610,860,880,800,700,600,430,620,580,620,500,510,610,650,660,..,..,..,..,..
419,Timor-Leste,935,Asia,South-Eastern Asia,Developing regions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,170,200,180,280,170,970,450,370,..,..,..,..,..
420,Togo,903,Africa,Western Africa,Developing regions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,30,..,..,..,..,..
421,Tokelau,909,Oceania,Polynesia,Developing regions,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,0,0,10,0,0,0,10,10,30,10,20,..,..,..,..,..
422,Tonga,909,Oceania,Polynesia,Developing regions,130,290,300,200,250,250,310,300,460,360,330,340,470,400,370,420,480,350,270,300,320,310,270,260,330,330,350,390,640,..,..,..,..,..
423,Trinidad and Tobago,904,Latin America and the Caribbean,Caribbean,Developing regions,20,30,30,10,10,20,30,50,40,60,20,30,20,20,30,30,30,20,20,20,20,20,20,50,30,40,60,30,60,..,..,..,..,..
424,Tunisia,903,Africa,Northern Africa,Developing regions,0,0,0,0,0,0,10,20,20,0,0,0,10,0,20,10,10,10,20,10,10,0,30,30,10,0,30,20,10,..,..,..,..,..
425,Turkey,935,Asia,Western Asia,Developing regions,1500,1390,870,930,1320,1690,1990,2220,2330,2200,1930,2210,2880,1770,2050,2500,2260,2030,1820,2050,1900,1890,2470,2490,1850,1720,1690,1860,2080,..,..,..,..,..
426,Turkmenistan,935,Asia,Central Asia,Developing regions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,..,..,..,..,..
427,Turks and Caicos Islands,904,Latin America and the Caribbean,Caribbean,Developing regions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..
428,Tuvalu,909,Oceania,Polynesia,Developing regions,10,30,30,40,20,30,40,40,40,40,50,20,20,20,10,10,30,0,30,40,30,10,20,20,30,20,20,20,10,..,..,..,..,..
429,Uganda,903,Africa,Eastern Africa,Developing regions,40,30,30,20,20,30,10,20,20,30,20,40,40,40,70,60,50,60,40,50,60,140,270,420,770,670,930,820,460,..,..,..,..,..
430,Ukraine,908,Europe,Eastern Europe,Developed regions,0,0,0,0,0,0,0,0,0,0,0,0,550,480,810,570,570,530,330,310,240,290,310,290,360,420,360,410,420,..,..,..,..,..
431,United Arab Emirates,935,Asia,Western Asia,Developing regions,40,70,80,130,140,140,180,280,480,550,400,330,330,300,410,580,640,740,720,940,1080,1920,2630,3140,2760,3660,4680,3760,4160,..,..,..,..,..
432,United Kingdom of Great Britain and Northern Ireland,908,Europe,Northern Europe,Developed regions,43540,57050,51730,31660,25150,27630,35910,38980,45550,44620,45860,42820,36580,34720,36180,39040,40540,42010,42700,49310,51000,52940,57330,70150,53140,53300,57250,61490,65160,..,..,..,..,..
433,United Republic of Tanzania,903,Africa,Eastern Africa,Developing regions,70,120,100,90,110,120,100,70,70,100,60,110,120,100,110,110,90,110,90,70,110,120,170,200,200,930,890,1280,760,..,..,..,..,..
434,United States of America,905,Northern America,Northern America,Developed regions,10470,12080,12490,11110,11840,12480,12600,13140,13720,14410,14300,13810,13290,13260,15020,16450,16440,16760,18300,18740,18030,19230,18950,18980,18540,18490,17320,19260,20860,..,..,..,..,..
435,United States Virgin Islands,904,Latin America and the Caribbean,Caribbean,Developing regions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..
436,Uruguay,904,Latin America and the Caribbean,South America,Developing regions,310,280,220,170,390,280,300,260,230,220,180,270,220,150,130,160,160,130,70,110,110,100,140,140,80,110,90,90,100,..,..,..,..,..
437,Uzbekistan,935,Asia,Central Asia,Developing regions,0,0,0,0,0,0,0,0,0,0,0,0,0,20,30,40,50,30,30,40,30,30,50,70,80,70,60,80,110,..,..,..,..,..
438,Vanuatu,909,Oceania,Melanesia,Developing regions,150,140,170,140,170,170,180,230,210,210,240,220,280,210,230,190,190,190,190,130,140,170,160,150,400,350,390,400,400,..,..,..,..,..
439,Venezuela (Bolivarian Republic of),904,Latin America and the Caribbean,South America,Developing regions,90,70,70,80,60,80,90,80,70,50,80,70,50,60,90,80,120,130,100,100,110,120,130,130,130,180,160,160,250,..,..,..,..,..
440,Viet Nam,935,Asia,South-Eastern Asia,Developing regions,130,70,200,920,2860,2140,3030,1680,2030,4260,7880,7910,5840,4160,4220,4680,4000,3730,3850,3250,3430,3800,4410,4840,4500,5110,6610,8310,11210,..,..,..,..,..
441,Wallis and Futuna Islands,909,Oceania,Polynesia,Developing regions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,..,..,..,..,..
442,Western Sahara,903,Africa,Northern Africa,Developing regions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..
443,Yemen,935,Asia,Western Asia,Developing regions,10,0,0,10,20,10,0,0,0,0,20,10,0,10,10,0,0,10,20,20,20,60,40,150,40,20,10,40,40,..,..,..,..,..
444,Zambia,903,Africa,Eastern Africa,Developing regions,150,110,120,180,130,170,110,170,150,180,210,210,150,130,150,100,130,90,80,60,100,190,260,430,370,240,410,410,400,..,..,..,..,..
445,Zimbabwe,903,Africa,Eastern Africa,Developing regions,630,1120,1190,980,640,500,470,440,450,670,750,540,360,370,360,290,340,320,330,510,910,1500,1670,2330,1790,1560,1880,2180,2270,..,..,..,..,..
446,Unknown,999,World,World,World,4060,4440,4010,3220,3970,4610,5380,6520,6360,5360,5140,6940,7790,7160,5280,4340,4340,2930,3400,2850,5500,5090,2160,1760,1650,1800,2320,18310,4970,..,..,..,..,..
447,Total,999,World,World,World,184290,212690,195200,153570,153530,172550,196690,221620,253860,238050,234050,237240,220460,197940,221920,253940,261330,260220,268390,289870,317560,356410,361990,388450,350990,363470,402210,460650,535970,..,..,..,..,..
